Diario,Seccion,Titulo,Resumen,Link
El Tribuno,salta,Enfermedades respiratorias: Van en aumento los casos y piden prevención,Entre 50 y 60 pacientes diarios respiratorios se reciben en la guardia del hospital público Materno Infantil aproximadamente y antes eran mucho menos. Especialistas piden prepararse para el frío.,https://www.eltribuno.com/salta/2024-5-15-0-0-0-enfermedades-respiratorias-van-en-aumento-los-casos-y-piden-prevencion
El Tribuno,salta,¡Arranca con todo el Hot Days en el Corralón El Amigo!,"Desde el 13 hasta el 18 de mayo, prepárate para disfrutar de ofertas explosivas y financia tus proyectos en hasta 6 cuotas sin interés.",https://www.eltribuno.com/salta/2024-5-14-0-16-0-arranca-con-todo-el-hot-days-en-el-corralon-el-amigo
El Tribuno,deportes,River busca sellar su pase a octavos de final en el Monumental,"Recibe a Libertad de Paraguay, desde las 21.30. Hasta con un empate en casa el millonario se asegurará el boleto.",https://www.eltribuno.com/deportes/2024-5-13-23-30-0-river-busca-sellar-su-pase-a-octavos-de-final-en-el-monumental
El Tribuno,policiales,Caso Cintia Fernández: Gimena Núñez condenada e inhabilitada por falso testimonio,"Los jueces Cecilia Flores Toranzos, Gabriela Romero Nayar y Marcelo Rubio, condenaron a Núñez a la pena de 2 años de ejecución condicional, 4 de inhabilitación especial y al cumplimiento de reglas de conducta.",https://www.eltribuno.com/policiales/2024-5-14-13-6-0-caso-cintia-fernandez-gimena-nunez-condenada-e-inhabilitada-por-falso-testimonio
El Tribuno,espectaculos,Martín Fierro Federal 2023: Salta tiene siete nominaciones,La Asociación de Periodistas de la Televisión y la Radiofonía Argentinas (APTRA) ya publicó la lista de los nominados para televisión y radio.,https://www.eltribuno.com/espectaculos/2024-5-14-18-5-0-martin-fierro-federal-2023-salta-tiene-siete-nominaciones
El Tribuno,municipios,General Mosconi: La devoción a la Virgen de Fátima,Una advocación mariana con fuerte raigambre en la zona.,https://www.eltribuno.com/municipios/2024-5-14-0-0-0-general-mosconi-la-devocion-a-la-virgen-de-fatima
El Tribuno,vida-y-tendencia,La historia de Darío y Norma: cómo es vivir con una madre con alzheimer y mostrarlo en las redes,"Norma Acosta padece alzheimer desde hace ya 6 años, una enfermedad que desgasta su vida pero a la vez fortaleció el lazo de amor entre su hijo Dario y ella.",https://www.eltribuno.com/vida-y-tendencia/2024-5-12-17-47-0-la-historia-de-dario-y-norma-como-es-vivir-con-una-madre-con-alzheimer-y-mostrarlos-en-las-redes
La Razon,espana,Moncloa reactiva este sábado el diálogo con Junts,El Gobierno restablece una vía de comunicación con Puigdemont para intentar salvar la legislatura después del escenario abierto en Cataluña,https://www.larazon.es/https://www.larazon.es/espana/moncloa-reactiva-este-sabado-dialogo-junts_202405156644096669f85800013c3764.html
La Razon,espana,Zelenski cancela su visita a Madrid prevista para este viernes,El presidente ucraniano iba a reunirse con Felipe VI y Pedro Sánchez,https://www.larazon.es/https://www.larazon.es/espana/zelenski-cancela-visita-madrid-prevista-este-viernes_202405156643e44169f85800013bf16b.html
La Razon,salud,Cómo evitar los riesgos de lesiones con la llegada del buen tiempo,Las más habituales son las producidas por caídas y por sobrecarga: contracturas y tendinopatías,https://www.larazon.es/https://www.larazon.es/salud/como-evitar-riesgos-lesiones-llegada-buen-tiempo_20240515663de9dd8e66020001d6bf1c.html
La Razon,madrid,El chotis: cuál es el origen del tradicional baile de San Isidro entre los chulapos de Madrid,"Es uno de los buques insignia de la capital madrileña, pero muchos no conocen que el origen de esta popular danza ni siquiera está en España",https://www.larazon.es/https://www.larazon.es/madrid/chotis-cual-origen-tradicional-baile-san-isidro-chulapos-madrid_2024051566440c438e8c66000182f5cb.html
La Razon,deportes,Real Madrid - Alavés (5-0): Courtois pide sitio en la fiesta,"El Real Madrid goleó al Alavés en un buen y relajado partido. El portero belga, titular, demostró estar listo para la final",https://www.larazon.es/https://www.larazon.es/deportes/futbol/real-madridalaves-directo-siga-vivo-encuentro-laliga-sports_202405146641ffcc8e6602000118cb72.html
La Razon,internacional,"Quién es Mohamed ""La Mosca"", el peligroso preso fugado en un asalto a un furgón policial en Francia",Es un recluso reincidente relacionado con el narco. En la acción han fallecido dos funcionarios de prisiones,https://www.larazon.es/https://www.larazon.es/internacional/quien-mohamed-mosca-peligroso-preso-fugado-asalto-furgon-policial-francia_20240514664368dd8e8c660001815c90.html
La Razon,internacional,Descubrimiento histórico: encuentran una cueva submarina tan profunda que no saben dónde está el fondo,Este Agujero Azul encontrado en el océano Atlántico sería más grande que cualquier otro encontrado anteriormente en el planeta Tierra,https://www.larazon.es/https://www.larazon.es/internacional/america/descubrimiento-historico-encuentran-cueva-submarina-tan-profunda-que-saben-donde-esta-fondo_20240515664409e3c33d0d0001d2997e.html
La Razon,gente,Bertín Osborne habría cumplido “todas las peticiones” de Gabriela Guillén,"Después de unas semanas al lado de su familia y su hijo en Paraguay, Gabriela ha hecho frente a las críticas y reconoce que no ha visto ni un céntimo",https://www.larazon.es/https://www.larazon.es/gente/famosos/bertin-osborne-habria-cumplido-todas-peticiones-gabriela-guillen_202405146643bef969f85800013baa00.html
La Razon,madrid,Sin soluciones a la congestión del Puerto de Navacerrada,El Gobierno alega que no puede mejorar los accesos por M601 y M603 al ser parte del Parque de Guadarrama. La plataforma Salvemos Navacerrada ha puesto sobre la mesa alternativas,https://www.larazon.es/https://www.larazon.es/madrid/soluciones-congestion-puerto-navacerrada_202405156644341bc33d0d0001d2e79c.html
